baseline,delta
ocsvm,0.00312103
ocsvm,0.01250034
ocsvm,0.01233893
ocsvm,0.01245886
ocsvm,0.01495147
ocsvm,0.01213588
ocsvm,0.00834902
ocsvm,0.01602129
ocsvm,0.01170971
ocsvm,0.00911429
ocsvm,0.00248785
ocsvm,0.00339527
ocsvm,0.00825319
ocsvm,0.00529896
ocsvm,0.00644539
ocsvm,0.01466843
ocsvm,0.00336153
ocsvm,0.01569955
ocsvm,0.01199331
ocsvm,0.01031041
ocsvm,0.00679875
ocsvm,0.011805
ocsvm,0.00714664
ocsvm,0.00888414
ocsvm,0.01445164
ocsvm,0.00656453
ocsvm,0.00310986
ocsvm,0.01105559
ocsvm,0.01003967
ocsvm,0.01164081
ocsvm,0.01663654
ocsvm,0.00403546
ocsvm,0.00918411
ocsvm,0.00746705
ocsvm,0.01008251
ocsvm,0.00064756
ocsvm,0.01095838
ocsvm,0.00987399
ocsvm,0.00425706
ocsvm,0.00954576
ocsvm,0.0055663
ocsvm,0.01400329
ocsvm,0.00463113
ocsvm,0.00872935
ocsvm,-0.0010679
ocsvm,0.01181227
ocsvm,0.00221059
ocsvm,0.00744797
ocsvm,0.01111663
ocsvm,0.01099865
ocsvm,0.00616574
ocsvm,0.00754283
ocsvm,0.01054245
ocsvm,0.00978955
ocsvm,-2.156e-05
ocsvm,0.01528011
ocsvm,0.00595401
ocsvm,0.00439118
ocsvm,0.01078727
ocsvm,0.00662012
ocsvm,0.01303225
ocsvm,0.01441747
ocsvm,0.00925414
ocsvm,0.01168451
ocsvm,0.00977916
ocsvm,0.01457513
ocsvm,0.00769739
ocsvm,0.00264378
ocsvm,0.01144205
ocsvm,0.00950848
ocsvm,0.00505699
ocsvm,0.01211135
ocsvm,0.0094643
ocsvm,0.01051229
ocsvm,0.00626122
ocsvm,0.00940172
ocsvm,0.00965386
ocsvm,0.01236887
ocsvm,0.01048003
ocsvm,0.00716494
ocsvm,0.0093978
ocsvm,0.01159303
ocsvm,0.01086192
ocsvm,0.0046746
ocsvm,0.00538932
ocsvm,0.00692632
ocsvm,0.01262721
ocsvm,0.00777079
ocsvm,0.01044173
ocsvm,0.00775861
ocsvm,0.01123572
ocsvm,0.00728695
ocsvm,0.01086606
ocsvm,0.01275282
ocsvm,0.00815977
ocsvm,0.01076015
ocsvm,0.00975326
ocsvm,0.00158635
ocsvm,0.00817558
ocsvm,0.01716392
ocsvm,0.00935002
ocsvm,0.00679204
ocsvm,0.01450519
ocsvm,0.0134565
ocsvm,0.01911262
ocsvm,0.0077005
ocsvm,0.0103981
ocsvm,0.0016625
ocsvm,0.01076367
ocsvm,0.01143417
ocsvm,0.00725143
ocsvm,0.00758478
ocsvm,0.01069321
ocsvm,0.01746331
ocsvm,0.00805117
ocsvm,0.01224957
ocsvm,0.01830755
ocsvm,0.00907812
ocsvm,0.01112554
ocsvm,0.01389582
ocsvm,0.0096238
ocsvm,0.0055632
ocsvm,0.00934081
ocsvm,0.02002306
ocsvm,0.00844084
ocsvm,0.01228696
ocsvm,0.01717042
ocsvm,0.01762665
ocsvm,0.00511862
ocsvm,0.00991926
ocsvm,0.0060105
ocsvm,0.01232056
ocsvm,0.00734136
ocsvm,0.0068032
ocsvm,0.01394336
ocsvm,0.00831589
ocsvm,0.00446709
ocsvm,0.01365068
ocsvm,0.01266728
ocsvm,0.0053136
ocsvm,0.01706889
ocsvm,0.01505017
ocsvm,0.01053693
ocsvm,0.00794891
ocsvm,0.00677177
ocsvm,0.01626408
ocsvm,0.01308335
ocsvm,0.0074846
ocsvm,0.01208544
ocsvm,0.01000703
ocsvm,0.01192102
ocsvm,0.0131386
ocsvm,0.00691647
ocsvm,0.00970056
ocsvm,0.00716461
ocsvm,0.00628647
ocsvm,0.00473281
ocsvm,0.01327471
ocsvm,0.01646341
ocsvm,0.00906824
ocsvm,0.01641334
ocsvm,0.01301346
ocsvm,0.0055024
ocsvm,0.00693034
ocsvm,0.01002506
ocsvm,0.01510728
ocsvm,0.00980447
ocsvm,0.00806761
ocsvm,0.00902292
ocsvm,0.01321978
ocsvm,0.01457197
ocsvm,0.01167633
ocsvm,0.00371921
ocsvm,0.01081097
ocsvm,0.0112594
ocsvm,0.01769188
ocsvm,0.01293188
ocsvm,0.01356801
ocsvm,0.0065161
ocsvm,0.00593893
ocsvm,0.01202642
ocsvm,0.0040234
ocsvm,0.00459632
ocsvm,0.01129479
ocsvm,0.00861144
ocsvm,0.01009106
ocsvm,0.01171547
ocsvm,0.00660264
ocsvm,0.01322317
ocsvm,0.00774863
ocsvm,0.008725
ocsvm,0.00174761
ocsvm,0.0187215
ocsvm,0.00697489
ocsvm,0.00615463
ocsvm,0.00592747
ocsvm,0.00843801
ocsvm,0.01287328
ocsvm,0.01178121
ocsvm,0.01258289
ocsvm,0.00637342
ocsvm,0.01029873
ocsvm,0.00760192
ocsvm,0.00476133
ocsvm,0.01248102
ocsvm,0.01106119
ocsvm,0.00821054
ocsvm,0.00786199
ocsvm,0.00750078
ocsvm,0.00336923
ocsvm,0.00536785
ocsvm,0.00779535
ocsvm,0.00786324
ocsvm,0.0082605
ocsvm,0.00953273
ocsvm,0.01365826
ocsvm,0.00486885
ocsvm,0.00928319
ocsvm,0.019152
ocsvm,0.0094028
ocsvm,0.00945286
ocsvm,0.00571145
ocsvm,0.01165537
ocsvm,0.00599086
ocsvm,0.00717443
ocsvm,0.0144509
ocsvm,0.01402142
ocsvm,0.01493141
ocsvm,0.01450997
ocsvm,0.0071874
ocsvm,0.01461507
ocsvm,0.01025932
ocsvm,0.01144422
ocsvm,0.01462801
ocsvm,0.01394409
ocsvm,0.00948604
ocsvm,0.01118466
ocsvm,0.00872073
ocsvm,0.00878108
ocsvm,0.00636061
ocsvm,0.00211715
ocsvm,0.01183913
ocsvm,0.01474852
ocsvm,0.01745397
ocsvm,0.01280847
ocsvm,0.01527625
ocsvm,0.00221195
ocsvm,0.01124648
ocsvm,0.01055521
ocsvm,0.00823416
ocsvm,0.00590561
ocsvm,0.00778498
ocsvm,0.00784839
ocsvm,0.00703631
ocsvm,0.01360467
ocsvm,0.00832683
ocsvm,0.00834656
ocsvm,0.0031861
ocsvm,0.00720258
ocsvm,0.00414765
ocsvm,0.00945983
ocsvm,0.01146784
ocsvm,0.00806349
ocsvm,0.01494532
ocsvm,0.01381211
ocsvm,0.00481944
ocsvm,0.00485938
ocsvm,0.00695999
ocsvm,0.00922675
ocsvm,0.01300143
ocsvm,0.01484268
ocsvm,0.00616057
ocsvm,0.00990199
ocsvm,0.01141438
ocsvm,0.0112664
ocsvm,0.00882119
ocsvm,0.01552653
ocsvm,0.00202885
ocsvm,0.00786611
ocsvm,0.0133016
ocsvm,0.00945041
ocsvm,0.00581983
ocsvm,0.01127658
ocsvm,0.00299419
ocsvm,0.00557028
ocsvm,0.01380924
ocsvm,0.01503105
ocsvm,0.01484454
ocsvm,0.0155173
ocsvm,0.01088128
ocsvm,0.01085068
ocsvm,0.01102801
ocsvm,0.01858377
ocsvm,0.00928783
ocsvm,0.00943651
ocsvm,0.01046337
ocsvm,0.00663292
ocsvm,0.00808667
ocsvm,0.00243842
ocsvm,0.0116339
ocsvm,0.01893334
ocsvm,0.00352559
ocsvm,0.00501557
ocsvm,0.00936804
ocsvm,0.00664242
ocsvm,0.00986753
ocsvm,0.01334205
ocsvm,0.01283949
ocsvm,0.00883859
ocsvm,0.00891746
ocsvm,0.0070463
ocsvm,0.01350666
ocsvm,0.01036109
ocsvm,0.0075301
ocsvm,0.00850199
ocsvm,0.0033165
ocsvm,0.01079507
ocsvm,0.00801553
ocsvm,0.00960902
ocsvm,0.01112072
ocsvm,0.00539414
ocsvm,0.00744882
ocsvm,0.00903438
